"Academic Institutions (Category of AI wise) As on July 31, 2020",,,
AI Code,AI Name,State,Type/Category of Academic Institution (AI)
30083,"Fostiima Business School, Dwarka",Delhi,Other institutions -PGDM Institutes
12066,IILM Institute For Higher Education,Delhi,Other institutions -PGDM Institutes
11317,International Institute of Health Management Research,Delhi,Other institutions -PGDM Institutes
11323,"International Management Centre, New Delhi",Delhi,Other institutions -PGDM Institutes
30052,"International Management Institute, New Delhi",Delhi,Other institutions -PGDM Institutes
30038,"Jagan Institute of Management Studies, New Delhi",Delhi,Other institutions -PGDM Institutes
11318,Jagannath International Management School,Delhi,Other institutions -PGDM Institutes
30053,Management Education & Research Institute,Delhi,Other institutions -PGDM Institutes
11322,New Delhi Institute of Management,Delhi,Other institutions -PGDM Institutes
11326,Sri Sharada Institute of Indian Management - Research,Delhi,Other institutions -PGDM Institutes
10977,Adani Institute of Infrastructure Management,Gujarat,Other institutions -PGDM Institutes
11332,Entrepreneurship Development Institute of India,Gujarat,Other institutions -PGDM Institutes
12096,"MICA, Shela Ahmedabad",Gujarat,Other institutions -PGDM Institutes
10765,Narayana Business School,Gujarat,Other institutions -PGDM Institutes
30069,Som-Lalit Institute Of Management Studies(Slims),Gujarat,Other institutions -PGDM Institutes
11398,"St. Kabir Institute of Professional Studies, Gujarat,",Gujarat,Other institutions -PGDM Institutes
12006,Udaybhansinhji Regional Institute of Cooperative Management,Gujarat,Other institutions -PGDM Institutes
12065,"IILM Institute for Business and Management, Gurgaon",Haryana,Other institutions -PGDM Institutes
12009,Indraprasth Institute of Management,Haryana,Other institutions -PGDM Institutes
11462,Indus School of Business Management,Haryana,Other institutions -PGDM Institutes
12135,JK Business School,Haryana,Other institutions -PGDM Institutes
30139,JK Institute of Management and Technology,Haryana,Other institutions -PGDM Institutes
12023,"Management Development Institue (MDI), Gurgaon",Haryana,Other institutions -PGDM Institutes
30058,"Ramanujan College of Management, Palwal",Haryana,Other institutions -PGDM Institutes
12029,Regional Institute of Management,Haryana,Other institutions -PGDM Institutes
30125,SOIL School of Business Design,Haryana,Other institutions -PGDM Institutes
30142,Himalayan Institute of Management,Himachal Pradesh,Other institutions -PGDM Institutes
10981,Jain Institute of Management and  Entrepreneurship,Jharkhand,Other institutions -PGDM Institutes
12043,Xavier Institute of Social Service,Jharkhand,Other institutions -PGDM Institutes
12046,"Acharya School of Management, Bangalore",Karnataka,Other institutions -PGDM Institutes
30149,"Hal Management Academy,Bengaluru",Karnataka,Other institutions -PGDM Institutes
12062,"IFIM Business School,Bangalore",Karnataka,Other institutions -PGDM Institutes
12097,"Indian Institute of Plantation Management, Bengaluru",Karnataka,Other institutions -PGDM Institutes
12060,Indus Business Academy,Karnataka,Other institutions -PGDM Institutes
12158,Institute of Health Management Research Bangalore,Karnataka,Other institutions -PGDM Institutes
12123,International Institute of Business Studies,Karnataka,Other institutions -PGDM Institutes
12080,Kirloskar Institute of Advanced Management Studies,Karnataka,Other institutions -PGDM Institutes
30140,Krupanidhi Group of Institutions,Karnataka,Other institutions -PGDM Institutes
30122,Lorven St Xavier'S College,Karnataka,Other institutions -PGDM Institutes
12088,M S Ramaiah Institute of Management,Karnataka,Other institutions -PGDM Institutes
12092,Myra School of Business,Karnataka,Other institutions -PGDM Institutes
30111,"NSB Academy, Bangalore",Karnataka,Other institutions -PGDM Institutes
30087,"Patel Institute of Science & Management, Bangalore",Karnataka,Other institutions -PGDM Institutes
10992,"Prin. L. N. Welingkar Institute of Management Development and Research,Bangalore",Karnataka,Other institutions -PGDM Institutes
10997,"SDM Institute for Management Development, Mysore",Karnataka,Other institutions -PGDM Institutes
10998,St. Joseph's Institute of Management,Karnataka,Other institutions -PGDM Institutes
10999,T.A.Pai Management Institute Manipal,Karnataka,Other institutions -PGDM Institutes
30048,"Anant Institute of Business Studies, Ashoknagar",Madhya Pradesh,Other institutions -PGDM Institutes
30129,Asian Institute of Professional Studies,Madhya Pradesh,Other institutions -PGDM Institutes
30106,"IMI Business School, Indore",Madhya Pradesh,Other institutions -PGDM Institutes
30128,Imperial Institute of Management,Madhya Pradesh,Other institutions -PGDM Institutes
11055,"Indore Management Institute and Research Centre, Indore",Madhya Pradesh,Other institutions -PGDM Institutes
12173,"Jain College, Gwalior",Madhya Pradesh,Other institutions -PGDM Institutes
12161,"Lal Bahadur Shastri Institute of Technology and Management, Indore",Madhya Pradesh,Other institutions -PGDM Institutes
30116,Malwa Institute Of Management,Madhya Pradesh,Other institutions -PGDM Institutes
30089,"Peace College, Gwalior",Madhya Pradesh,Other institutions -PGDM Institutes
